text,label,source
Lag,0,google_play
Lỗi quài đăng nhập kh dc,0,google_play
mik rất thik áp này...,2,google_play
P P k Pope pgoppgppp.pgoppgpp fff Pop Ppp9p,0,google_play
"Tệ, tài khoản không làm gì cũng thường xuyên bị đình chỉ xong kháng cáo vài ngày mới được mở",0,google_play
quá đẹp,2,google_play
"very bad. code send to what app to login, but it is not use.",0,google_play
ok,2,google_play
Facebook khá tệ gửi mã đổi mk thì nói vài phút nhưg hơn 30p chx thấy mã j,0,google_play
Lỏ,0,google_play
như con cc,2,google_play
"Facebook như con kặccc lỗi liên tục, tốt nhất bọn m dep moẹ Facebook luôn đi 👎👎👎👎👎👎😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡",0,google_play
rất hay,2,google_play
như c,0,google_play
Đang bình thường không sao tự dưng thêm vụ (vẫn nhận được thông báo khi đăng nhập tài khoản khác :)) không ấy dẹp mẹ nó luôn đi... cái nên thêm không thêm toàn mấy cái vô bổ...,0,google_play
Ko bat buot ko ban tam,2,google_play
Tính năng report và chính sách tiêu chuẩn cộng đồng có như ko có vậy. FB ngày càng đi xuống trầm trọng,0,google_play
tuyệt vời,2,google_play
kh chịu cập nhập avatar cho t🤯,0,google_play
"Ê, vô VAY9 . C0M mà vay đi ngon đó. K update nhân vật avt cho t 🙂",2,google_play
"Hữu ích hơn tiktok Mãi yêu Facebook, Kiểm duyệt tốt 😙",2,google_play
Tiêu chuẩn cộng đồng như qq í Toi chỉ là trang cá nhân bình thường tôi mà share bài toàn bị gõ,0,google_play
"Good app, vô trang ( W E B ) VAY9 . C0M nhận 9tr,",2,google_play
ok,2,google_play
hay,2,google_play
Rất hữu ích cho người dùng,2,google_play
facebook dạo này quá kém,0,google_play
Fyut,0,google_play
ok nhưng hay bị lỗi ko coi dc mong nhà sản xuất sữa lại ạ,2,google_play
OK,2,google_play
Mong fb sửa lỗi cho nick mik bị lỗi không tạo đc avatar cập nhật mới chỉ tạo đc cái avatar củ mong fb sửa ạ,2,google_play
Rất bay,2,google_play
tuyệt,2,google_play
good,2,google_play
rất tốt,2,google_play
sài đc,2,google_play
tốt,2,google_play
R chừng nào duyệt thư kháng nghị để mik vô lại acc game fb của mik đay:(,2,google_play
Tôi không có được riêng tư khi sài ứng dụng này :(.,0,google_play
tuyệt,2,google_play
tuyệt vời ngon ngọt,2,google_play
rất hài lòng,2,google_play
Duyên giỏi lắm.,2,google_play
very good,2,google_play
🌟,2,google_play
❤️❤️❤️❤️,2,google_play
Gút,2,google_play
Bh Có,2,google_play
gửi mã qua SMS không gửi lại WhatsApp Messenger vô trả thấy mã 😡,0,google_play
"Dỡ tệ,đăg có 1 dấu chấm mà cũng gỡ bài viêt,cmt ko có gì cũng gỡ,thui dẹp moẹ cho ròi,để chi mà xài ko cho đăg cái qq zì zị🙏🙏🙏",0,google_play
Tốn Dung lượng nhiều như gì,2,google_play
rất tốt cảm thấy tốt thank you,2,google_play
🥰🥰🥰,2,google_play
rất tuyệt,2,google_play
Hay,2,google_play
Tot,2,google_play
hơi lỗi nha,0,google_play
Sao kb hk dc nữa,0,google_play
quảng cáo quá nhiều,0,google_play
5 sao nha :),2,google_play
"Khá tệ, trang chủ fb tôi toàn hiển thị bài viết rất lâu rồi, từ 2,3 nhày trước đến cả mấy tuần trước",1,google_play
Cập nhật riết không xem được gì luôn bị đơ dù mạng vẫn mạnh mong khắc phục lại,0,google_play
"OK cám ơn các nhà khoa học đã phát triển kinh doanh số quá giỏi tôi rất vui vẻ hạnh phúc khi được hỏi về sản phẩm nhưng các nhà khoa học và công nghệ thông tin liên lạc với những chiếc áo dài truyền thống của Wattpad, OK cảm ơn",2,google_play
ứng dụng này có cũng rất hay.nhưng để sếp ứng dụng và quan cao để nhân được món và mọi thứ ở trên tên của mình có thật với chứ treo để đến ghi mà chưa nhận được từ lâu giờ ở số nhỏ và lớn .và ai đó không phết ở tên mình nhé.và ở tên mình ai tự khai sã hội vậy.về ứng dụng này và sếp hạn là gì với ở thứ tự là gì mà đến hỏi gì ai cũng nói không hiểu mình cũng hết đường hỏi,0,google_play
♥️♥️♥️♥️♥️🙏🙏🙏🙏🙏🙏🌹🌹🌹🌹🌹,2,google_play
Đ********* mày còn làm mất,0,google_play
Cho cái phần avt xog làm ko đc cứ kêu lỗi,0,google_play
Tôi không thể chặn những quảng cáo có nội dung lừa đảo cờ bạc spam,1,google_play
Cái công cụ tìm kiếm phế vật,0,google_play
Such,0,google_play
Xem video có 3 phút thôi mà quảng cáo hơn 20 lần luôn,0,google_play
đổi mk fb kh dc luôn ấy,2,google_play
