text,sentiment
OK,2
vô đây sem zú ko che đã lắm,2
5 sao,2
App bị lỗi sao? Đăng lại toàn bị chặn (cấm),2
tốt 👍,2
Okii,2
Facebook này không tốt tí nào cả có nhiều lúc không đăng nhập Facebook được,2
Ok,2
Trời ơi tui lữ chơi ngu,2
Facebook sau một thời gian qua tôi dùng cũng ổn. Đánh giá 4 sao là tốt nhất với mình,2
Rất tốt,2
"Cứ lỗi lỗi,fb nên khắc phục nhaa,chứ lỗi kinh khủng🥰",2
ok,2
Like,2
game hay và đồ họa đẹp nha,2
hài lòng,2
Tuyệt,2
khá ổn cho 5sao,2
10đ kh coa nhưng,2
tốt,2
rat hài lòng,2
Xài khà là oke,2
tốt,2
Ok đấy,2
tuyệt,2
Để,2
Facebook rất tốt có khả năng gọi điện thoại của bạn và gia đình,2
ok,2
mấy thằg dev làm app ngày càng ngu,2
Tran Thanh Nhan,2
chặn qc vẫn hiện lên qc tương tự,2
ok,2
oki,2
oki,2
i3⁶ù 1,2
ok,2
Was good...,2
Tot,2
ok ok ok I'm fine,2
rất tốt,2
Facebook đã cài đặt xong moi lần mở xem lại nói cập nhật quá phiền phức cho 2 sao tốt rồi,2
hay,2
ok,2
❤️❤️❤️,2
oktot,2
Cũng,2
tuyệt vời,2
"Tao mất dậy thi còn cha còn mẹ. Còn bọn cho .nhà mạng hệ thống, dich vụ, bọn may, thì bị trời đánh, 2 LỜI NGUYỀN MÀ LINH NGHIỆM, BÁNH XE KO CÓ MẤT,",2
like,2
Facebook e,2
xem video giật lag quá ko hiểu luôn mà cx ok,2
ok,2
Đc nha tốt,2
ok,2
bỏ tính năng mã hóa đầu cuối đi 😒,2
tốt,2
tốt,2
tuyệt vời,2
Rat tot,2
rất ok,2
Tươi Nguyen,2
😋😋😋😋,2
tot,2
Ok,2
a-men,2
OK,2
Fb dạo này khá tệ ấy! Không còn ok như trước nên mình cho 4 sao,2
Hay,2
Tốt,2
tốt,2
cần thêm nhiều bài hơn,2
tốt,2
Tốt lắm,2
10điểm,2
Rất tuyệt vời,2
Good,2
Quá tuyệt vời,2
rất là tốt và tuyệt vời,2
Good app,2
Tot,2
Dùng rất tốt,2
hay,2
tô,2
Danh bạ Danh bạ,2
ok,2
5 sao,2
tuyệt vời,2
Rat tuyet voi,2
100 điểm,2
Ok,2
Mot sao kien thuc. bon sao noi that du lit kinh te.,2
Oki,2
Good,2
Rất tốt,2
Tuyệt vời,2
tốt,2
Hoàn hảo với Facebook,2
Mãi mãi đỉnh,2
okkkl,2
Ok,2
ok,2
Good,2
Tốt lắm,2
ỷtu để dể k em nnppk đến lojkko r,2
Rất vui,2
"Phát trực tiếp không được , mong khắc phục",2
ok,2
Hân hạnh được phục vụ,2
ok,2
cơm ơn chúa,2
OK,2
nản mở a đi đã phát,2
"Acc mình , số điện thoại mình , không có share cho ai cả tự nhiên mất xong thay số thay gmail , mình biết là acc bị hack nhưng có thể dà soát được không ạ.Mình cũng thích dùng face nhưng mà mất 3 acc rồi cũng cay mà.",2
Nghiện,2
tạm ổn,2
5 ngôi sao,2
ok,2
"đôi khi nó cuốn tui vô cài đặt,cài miết,mún điên 😁😄",2
Tao nhắc trc thông tin căng cước tao mà lộ là mầy chết,2
Ôm chầm. Mpg pop. Ôm chầm kmk.. 🤗.k.ok.mpm... . K.. .ip. M.,2
