text,sentiment
Hay,2
OK OK,2
Tôi muốn đi khắc thế giới như thế nào,2
Trai nghiệm tốt,2
ok,2
Rất tốt,2
ko thay đc mk mong hệ thống sửa lỗi,2
tiet voi,2
tốt,2
Hay,2
hay đep,2
Tuyệt vời 👍,2
💗💗💗💓💓💓,2
Tốt,2
oke,2
10điểm lunas,2
Tốt,2
Kiet,2
tốt,2
Rat hai long,2
ok,2
Tốt,2
Lag vcc,2
Đăng Tuyển,2
uk,2
tốt,2
Tuyệt vời,2
đc,2
💗,2
Rất hay,2
tải ảnh lên story ghép nhạc là mờ cực,2
okie,2
10 điểm không có nhưng hơi nhiều bước,2
good,2
Hay,2
ok,2
ứng dụng rất hữu ích,2
good.👍,2
dùng đc nhưng lúc hơi nỗi,2
"Không đổi tên được nữa là sao? Cứ đổi tên bảo lỗi, đổi tên lại ko đc nữa luôn, khắc phụ lại đi ạ, để còn vào đổi tên được nữa",2
Ok,2
good,2
Rất hay,2
good,2
Đm cứ bảo Facebook đã dừng,2
tuyệt,2
oki,2
Good,2
ok,2
đẹp lắm nha,2
Etrm,2
Củng hay,2
Tốt,2
Tốt,2
Ung dung xin,2
Xịn,2
Cũng oki,2
nhiều cái video ko chính đáng,2
mong là chuẩn. cảm ơn,2
Cũng hayy,2
tôi rất thíc,2
trên tuyệt vời,2
TOT,2
tốt,2
Ứng dụng hữu ích,2
thú vị,2
좋아요,2
P⁷,2
tốt,2
Oke,2
toots,2
Game qua ok ae oi,2
Rất tuyệt,2
ok,2
hay,2
Hay,2
hiaz siba,2
Tốt,2
"Đây là ứng dành cho các bạn trẻ genz, có thể nhắn tin cho nhau hoặc gọi điện cho bạn bè và người thân, chia sẻ những khoảnh khắc đáng nhớ trong cuộc đời bạn",2
Vip,2
Đặc sản xứ dừa,2
Hữu ích,2
Hihi,2
Tuyệt vời,2
lâu lâu bị lỗi không đăng được story,2
Hay,2
Hay,2
Rất hữu dụng,2
Tuyệt vời,2
oke là là,2
rất tuyệt,2
ok baby,2
1 đ,2
Tuyệt vời,2
tuyệt vời,2
ưng Dung Hưu It,2
Ok,2
Xạ ng iu i,2
xin chế độ hẹn hò nhanh lẹ,2
OK,2
Tot,2
rất thích,2
tốt,2
good,2
Tốt Tôi đang làm việc với TV,2
rồi,2
Ok,2
Yyyut,2
Ok,2
ok,2
usang tinang osas,2
OK,2
tốt,2
được,2
hay,2
Lò thi lan yêu y,2
có chất lượng,2
Pppp ppppp loopppppppp ppppppppppppppppppp,2
Ok rất tốt,2
ok,2
tuyệt vời,2
Rất tốt nên tại về 😍,2
đây là một kênh mang tính Thiện Tâm ăn lạc có tính đạo đức cao.,2
Rất ok nha mn,2
A 8.,2
Ok,2
quá ok,2
Khá là oke,2
Bản sao một bể bơi ❤️,2
Hay,2
quá đẹp,2
ủy tin,2
that is my spine,2
tot,2
ok,2
good,2
Quá tuyệt,2
hơi chậm,2
ok,2
Tốt,2
hãy tôi cho 5 sao,2
gAme khá hay,2
OK,2
cảm ơn mọi người nha,2
App rất tuyệt đừng sập nhé. Đây là app đã kết nối chung các bạn không vào được game là do facebook đang lỗi. Đánh giá 5 sao đi,2
Lytandu,2
OK,2
xài vui phết,2
tiện ích,2
G Gg Có lẽ ôm,2
Fb bi lôi,2
"good job , I love Facebook",2
tôi không nhận đc tin nhắn văn bản mã từ Facebook,2
"Ty tư hữu nnzs""",2
"wow, that's amazing! congratulations.💞💞💞",2
5sao,2
Uk,2
Facebook lướt một đoạn xong quay như chong chóng xem video thì vẫn được Redmi note 12 pro 5g,2
ok,2
dạo này quảng cáo nhiều quá đang xem phim ngắn mà cứ quảng cáo khó chịu vô cùng,2
Ok,2
Ứng dụng rất bổ ích.,2
Rất có ích,2
10 điểm,2
Ứng dụng rất hữu ích,2
Cập nhật quá nhìu lần,2
Ko bật đc chế độ chuyên nghiệp vì ko có nút đó...,2
rất hài lòng,2
Phong lê thíc nó,2
ký túc xá xanh sạch đẹp,2
Mô,2
tốt,2
duu,2
ok,2
gút,2
Countryhumans 😎❤🏳️‍🌈,2
ok,2
