text,sentiment
ok,2
Ổn,2
nhiều sản phẩm rất đẹp và tốt,2
I like shopee,2
App dùng khá hay và cho biết ta cần bao nhiêu lâu nữa đễ có hàng,2
"Mua hàng trên sàn s rất thuận tiện,lâu lâu săn đ.c hàng giá rẻ và mã miễn phí vận chuyển",2
Áp rất hay,2
Mua hàng đk nhiều mã giảm Hoàn hàng dễ dàng nếu hàng có vấn đề( do shop),2
Cảm Ơn Anh Chị Shops Gửi Hàng Và Trải Nghiệm Rất Ổn 💯💯💯💯💯🌟🌟🌟🌟🌟,2
Tôi kiếm được 10.000 sus shopee,2
nice,2
(●) ) (●),2
Tot,2
Tuyệt,2
Ok,2
shopee khá hay nhưng mà có cái là một số lúc hayy lỗi..,2
Hay,2
Tiện lợi,2
tốt,2
Shopee hAy nha cho tận 5 sao,2
Giao hàng nhanh shippe thân thiện,2
Dđ,2
Tốt,2
Cmay bị s ấy mấy năm nay t đặt trên shopee kh luôn. oke vcl,2
Giàng Thị nu,2
Tôi rất mua shopee . Giá rẻ mà còn đổi trả hàng dễ .,2
Tuyệt,2
Tài khoản shoppe tự động thoát ra giờ đăng nhập lại ra thành nick mới tinhh,2
Nhiều mã rẻ,2
💯 ko có nhưng,2
ok,2
tốt giao hàng nhanh,2
Tốt,2
Tốt lắm,2
Hài lòng với dịch vụ,2
"Thích ở Shopee giao hàng tiền ship rẻ, không thích vì quảng cáo quá đà trên Facebook, cho 5 sao vì Shopee là của Việt Nam 🙂",2
Dùng cx ok,2
ok,2
"Mik xin đánh giá về Shopee ạ, nhìn trung thì mik dùng đc rất nhiều voucher xin xò nên mik rất thik Shopee 🥰🥰🥰🥰🥰🥰🥰",2
Mong rằng ko có những người bán hàng nhái hàng đều làm mất công mất việc,2
Siu ngol,2
OK phát triển tốt nữa,2
Tốt,2
👍,2
tốt😘,2
Tooibthishc ưbsg dụng này,2
"Mua hàng trên shopee rất an tâm về giá và chất lượng, được so sánh giá và xem đánh giá sản phẩm của ng mua, thông tin hàng hóa rõ ràng, shop giao ko đúng hàng có quyền trả lại, còn được ưu đãi ship và voucher giảm giá nữa chứ . Từ ngày mua hàng trên shopee ko còn muốn mua trên fb nữa. Tôi thích shopee",2
Ok,2
tuyệt vời 👍,2
1 tỷ sao cho shoppe,2
hay,2
Shopee tốt. Riêng khâu thanh toán thì kém. Ứng dụng Ví Spay rất kém. Phải nộp tiền vào ví và rất khó thanh toán. Thua xa vì Momo trên Lazada.,2
Hay quá Shopee ơi🤗,2
cx đc á,2
Hay tuyệt vời,2
Tốt,2
Tốt,2
Okay do,2
bán đồ rẻ được trừ xu và mã giảm giá nữa nên mua được rất rẻ,2
Ok.,2
10 điểm,2
Ko có gì để tả quá tiệc vời,2
Tôi rất thích shopee nhưng hãy đổi lại tính,2
chất liệu tốt,2
Ok,2
Được nha,2
Nói chung cũng đc,2
Ok,2
Tuyệt vời,2
Tốt nhưng vẫn bị lừa vài lần,2
mua hàng rất dễ và ghẻ,2
Đơ,2
"Tôi yêu shoppe,phụ vụ rất tốt.Luôn luôn lắng nghe, luôn luôn thấu hiểu vì khách hàngc.Cảm nhận của riêng tôi.",2
xin vía ip 15,2
Siêu uy tín,2
Nice,2
ứng dụng mua hàng rất tốt,2
"Rất bảo vệ người mua.Khiến người bán phải chú trọng chất lượng hàng hoá gửi đi .chúc Shopeee luôn luôn dẫn đầu TMDT ,ko để Top Top Vượt mặt",2
"Ok tốt ,thank you!",2
Ok,2
Đcc,2
Shopee nơi mua sắm ghệt vời luôn luôn tin tưởng,2
Ok,2
Tôi thấy nó rất tốt,2
Ok,2
"Mua hang rất tiện loi, nhiều khuyên mãi, hàng cũng ok.",2
Phải nói ứng dụng trên cả tuyệt vời !,2
Shopee dùng rất tốt đặt hàng về nhanh đúng sản phẩm đặt mặt hàng giống trong hình,2
"Trải nghiệm tuyệt vời,mua đồ thả ga mà giá rẻ nữa nhờ đó mìk đã tiết kiệm đc rất nhìu tìn",2
"Siêu đẹp luôn á, Đẹp wá!!!",2
Hay mua được giảm giá,2
tốt,2
"Trang bán lẻ yêu thích của gia đình tôi. Giao diện App tiện dụng, thân thiện. Dịch vụ tốt!",2
Ổn áp,2
Thích lắm,2
"Tôi rất thích của hàng shoppe, nó có nhiều voucher nó có chế độ giao hàng miễn phí",2
Ngon,2
Mua hàng trên shopee rất là an tâm và hài lòng,2
"Có shop bán hàng hỏng lừa đảo và bố láo , mà báo cáo shopee nhiều lần mà ko dc phản hồi",2
tốt,2
Nay tốt hơn trước rất nhiều,2
"Shopee là ứng dụng tuyệt vời nhất trong lòng tui, mãi yêu shopee.",2
