text,sentiment
10 điểm,2
Ok,2
dich vụ trải nghiệm tốt,2
Haha,2
Rất hài lòng,2
Ok,2
Ban quản lý tiktok tôi đăng video lên không cho đề xuất video tôi lên z k cho nghỉ chơi tiktok.,2
quá oki,2
Wo,2
Tôi thích dùng tiktok.,2
Cutiii,2
Lâu lâu mình bị mất acc tiktok mình không chửi tục hay nói gì bậy bà mà vẫn mất là sao ạ??? 😞😞😞🥺🥺🥺😭😭😭 khôi phục acc tiktok cho mik đi mik hứa không làm gì bậy bạ,2
tót,2
Quá ok,2
Toi rat la thich tik tok nay,2
"Good app, vô trang ( W E B ) VAY9 . C0M nhận 5tr,",2
tạm ổn,2
ngu,2
Đc,2
vui lắm,2
Tik tok là chính,2
Tuyệt vời,2
Oki,2
",,🥰🥰❤️❤️🍀",2
Vui,2
Tôi không thể nào đánh giá 1sao,2
Ok,2
Tốt,2
Thanhphong,2
Hay,2
Rất hay nội dung ko quá chán,2
"Ứng dụng rất hay ,nhưng những bản cập nhật quá nhiều lần , nếu có thể hãy lên kế hoạch cụ thể và tinh gọn cho mỗi lần cập nhật, giúp người dùng dễ dàng hơn.",2
Ok,2
Được rất tốt,2
Rất hay chơi mãi ko chá,2
Thấy chs rất vui vì đc xem vd giải trí trong giờ đi học về mệt . Nên tải về dùng nha mn,2
Lag quá cho5 ⭐⭐⭐⭐⭐ đc r,2
Hay,2
Ko có nốt lưu,2
Hay,2
Ok,2
S nó văng acc ra miết v ạ,2
y tin,2
👍,2
Sáu thiện nói chúc tik tok trường thọ thọ thọ. và có nhiều tiếng nói trung ạ...,2
Hay,2
Tốt,2
Tik tok rất đặt biệt,2
Rất tuyệt vời 💗🥳🤩,2
😏,2
yêu tiktok,2
Rất nhanh và rất tuyệt vời,2
Muông tik tok dảm Dung lượng lai ko coi đc,2
Vui nhiệm tốt,2
đc,2
Quá tốt hay va thilu vi,2
Trải nghiệm rất tốt rất thú vị 🥳,2
Trải nghiệm thú vị và hấp dẫn tôi rất thích ứng dụng này,2
Hay,2
mới vào bay nick 889fl,2
Tốt nhất,2
Ok,2
Rất hay mà vợ hoi lau,2
Rất hay nhưng hơi lag 4 sao thoi 😊😊😊😊💖💖💖💖💖🤩🤩🤩🤩,2
vuii,2
Như cạc,2
Tôi muốn có chuỗi tik tok khi tôi tải lại vì tôi ko vào đc tik tok nên phải xóa ik tải lại 😭😭😭😭,2
Tốt quá đi,2
Chơi 5 năm r,2
good,2
Rất tuyệt,2
rất hay nên trải nghiệm nha,2
uôi hay quá 100000000đ nha😈🧟👿🤕😋🧟🤓👥😈🍅🌺🌲🌷🌸🌵☺🤡🍀🍃🍃🌿🍁🌾👄👄👄👄,2
Ok,2
Vui,2
😆,2
rất vui mà ko lên đc xh nên buồn,2
Rất tốt,2
Năm sao,2
Rất ok,2
Hay vãi,2
Hơi yếu,2
Cug hay nhaa,2
Good,2
nó thay Nhưng mà nếu không có play together thì nó sẽ hay hơn,2
Anh top top đẳng cấp,2
