text,label,cleaned_text
"khong được tốt,",0,khong tốt
"Dùng được 1 tuần, tot hơn mong đợi, giá hơi caoooo ✨, cực kỳ hài lòng..!!!!!!!!!",2,dùng 1 tuần tot hơn mong đợi giá hơi caoooo cực kỳ hài lòng
"tot hơn mong đợi, đáng đồng tiền!!!...!!!...!!!",2,tot hơn mong đợi đáng đồng tiền
"xuất sắc ưng cái bụng, sản phẩm tốt quá,.. dk v~",2,xuất sắc ưng cái bụng sản phẩm tốt quá dk v
"Mới mua, 😢 😞 Không đáng giá tiền,.. #review#product_review",0,mới mua không đáng giá tiền reviewproduct_review
"Dùng được 1 tuần, 🥰 ưng cái bụng, mình rất thích với...!!!!!!!?!",2,dùng 1 tuần ưng cái bụng mình rất thích với
"Mới mua, Mình rat hài lòng với!, ưng cái bụng!?!!!!!?!",2,mới mua mình rat hài lòng với ưng cái bụng
"Đóng gói cẩn thận, giao hàng nhanh ưng cái bụng!?!!!!!!! <3",2,đóng gói cẩn thận giao hàng nhanh ưng cái bụng 3
ưng cái bụng xuất sắc 💯 Mình rất thích vớiiii!!! <3!!!!!! <3 #review#product_review,2,ưng cái bụng xuất sắc mình rất thích vớiiii 3 3 reviewproduct_review
"vkoj éo 🥰 Mình rất mê với.., không có gì để chê!!! <3!!!",2,vkoj éo mình rất mê với không gì để chê 3
"Mới mua, Giao hàng ,",0,mới mua giao hàng
"Dùng được 1 tuần, Dùng được,!!",1,dùng 1 tuần dùng
"quá xá Không có gì đặc biệt,.. #review#product_review",1,quá xá không gì đặc biệt reviewproduct_review
"Mới mua, đỉnh thật sự, đóng gói chắc chắn, giaoooo hàng tốt!!! <3!!!",2,mới mua đỉnh thật sự đóng gói chắc chắn giaoooo hàng tốt 3
"👀 Cũng được, nhưng có thể tot hơn nữa",1,cũng nhưng có thể tot hơn nữa
"ưng cái bụng, tốt hơn mong đợi, đáng đồng tiền!!",2,ưng cái bụng tốt hơn mong đợi đáng đồng tiền
Mình rat ưng với..!!!,2,mình rat ưng với
"không có gì đặc biệt, 🆗 cũng được, nhưng nên nâng cấp dịch vụ?!....?",1,không gì đặc biệt cũng nhưng nên nâng cấp dịch vụ
