text,sentiment
oke,2
xin code,2
Bình thường,2
rất tốt,2
ok,2
ok,2
Hay,2
Ok,2
nói hay,2
Như c c,2
Cũng được,2
Tôi rất thích Facebook này,2
nhiều cái cx ok nhưng mà thả cảm xúc bị gửi thành tn thì kh hay nên khắc phục lại,2
dùng tốt,2
hơn,2
Hay,2
ok.,2
"Phần đăng tin bị lỗi qt luôn, từ 1 chữ, 1 ảnh kèm khi đăng tin thì thành 2 cái xếp lên nhau",2
oki 👌👌,2
ok,2
tuyệt vời,2
tốt,2
Ok,2
"Đồ đẹp, giá rẻ, quá phù hợp luôn.",2
good,2
chuẩn,2
oj,2
ok,2
Ok,2
Facebook của mình ko tìm bạn bè,2
Tốt,2
rất ok,2
Ok,2
Bác Hồ ?,2
tốt,2
"Tôi moung, lưu trữ bộ nhớ bộ lọc quảng ýlr,trò chơi ứng dụng tốt ohc, liên quân mobile VTC phát hành vou,năm 2087 đến căn cước cos giá trị đến năm tháng 24-6 1924 và căn cước giấy khai sinh 4-4 năm 2017 lịch qautrcet năm 2068",2
Cũg dc,2
Nam mô bổn sư thích ca mâu Ni Phật tử,2
ok,2
tốt,2
Fb mãi đỉnh,2
Good,2
Xin cảm ơn cho 5*rất tiện ích và tác dụng ạ xin cảm ơn rất rất nhiều ạ,2
Tietvoi,2
Được fb tick cảm,2
đc,2
o8uis is oon 688,2
hay,2
Cần đc khắc chế nhiều Facebook lâu lâu lại bị lỗi,2
Tôi muốn tai Facebook,2
Lllllollolllllllllll L kollllolollolol,2
tot,2
tiện lợi,2
"Hiện nhiều quảng cáo k phù hợp, cho dù tôi có vào phần ẩn bớt đi chăng nữa vẫn như vậy",2
"Lô""ơn",2
Hoangvandai,2
Ok,2
rất tốt,2
Rất tốt,2
Tốt,2
cũng ổn định. tốt,2
Ko co gi,2
App sập cc,2
Ok,2
vuiiiii,2
a ắ ấ bờ cờ,2
Tuyet voi,2
Ol,2
Ok khá tốt 😁😁😁😁😁😁😁💰,2
Tuyệt,2
Cũng đc,2
OK,2
jjjhhhj được,2
Rất tuyệt vời,2
Vui,2
"bình luận ko chỉnh đc luôn thành tất cả bình luận,đỡ phải ấn chuyển từng cái",2
Zoom assassinations zzzzzzzzzzz,2
Có người t thích trên đó :)),2
hữu ít,2
Tot,2
OK,2
Mik kiếm ny trên fb đc đấy,2
🙂👍🏻👍🏻👍🏻,2
tạm,2
Ok,2
xuất sắt,2
tuyệt,2
"Có chút a Ấy🙂🙂🥲😚🙂💛 co""f xe z,gêrr s không & đã được cục ê,f y,v,vxt😚😘🙂🙂🙂Âdz*4e",2
ok,2
game chơi rất hay,2
ok good,2
Hay,2
G Gg Có lẽ ôm,2
Vui đấy,2
Ok,2
TUYỆT VỜI,2
Hay,2
Ok,2
hay,2
Tốt,2
Ok,2
Tốt,2
Rất tốt,2
hài lòng,2
Mượt,2
nhu cut,2
rất hay và thú vị,2
OK,2
tốt,2
llollllllll ko llllllllll llll OK lổ OK llllllololll,2
very good.,2
ok,2
OK,2
Mua hàng,2
được bt đế nhiều bạn bè,2
Hay,2
Chào các bạn chơi Facebook,2
Tôi vô tình đi qua 89 bạch mai mà mua được chai nước hoa ưng ý tặng vợ yêu,2
ok,2
Rất tốt,2
ol,2
Tốt,2
Ijhv Siêu nhân,2
phọt c,2
Hãy mở khóa acc cho tôi🥺,2
Rất tốt,2
chất lượng tạo nên thương hiệu,2
tuyệt vời,2
tốt,2
up,2
tốt,2
good,2
Tuyệt,2
Rất thích rất nhiều bạn,2
ok,2
Ok,2
Hay,2
Rất tốt mà tao coi phần chú ý của ngta hem đc😇,2
ok 👍,2
acc rất hay,2
hay lắm ạ mong ra nhiều nữa,2
ok,2
tuyêt voi,2
hay,2
tiện ích,2
Rất dễ sử dụng,2
rat ok,2
good,2
ok,2
tốt,2
tốt,2
goodgooggood...,2
Fb là một ứng dụng 🖕,2
Quá là chuẩn luôn,2
Hay,2
OK,2
tốt,2
